CHURCHES_,CHURCHES_ID,PIN,OWNER_NAME,PROP_ADDR,BILL_ADDR,CITY_STATE,ZIP,EXEMPTCODE,ZONING,DENOMINATION,DENOM
161,23195,0463237000,ANTIOCH BAPTIST CHURCH OF AUGUS,1281 AUGUSTA AVE,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
162,23227,0454175000,GETHSEMANE BAPTIST CHURCH,1478 BROWN ST,1465 WRIGHTSBORO RD,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
163,23323,0474410000,MOSES BAPTIST CHURCH,112 WALKER ST,112 WALKER ST,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
164,23327,0463337000,ANTIOCH BAPTIST CHURCH OF AUGUSTA GA INC,1449 FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
165,23335,0464725000,TABERNACLE BAPTIST CHURCH,1214 LANEY WALKER BLVD,1223 LANEY WALKER BLVD,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
166,23370,0464726000,TABERNACLE BAPTIST CHURCH,1210 LANEY WALKER BLVD,1223 LANEY WALKER BLVD,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
167,23385,0464695010,HARMONY BAPTIST CHURCH OF AUGU,930 HOPKINS ST,930 HOPKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
168,23403,0474421000,MOSES BAPTIST CHURCH,609 FIRST ST,609 FIRST ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
169,23412,0463336000,ANTIOCH BAPTIST CHURCH OF AUG I,1280 AUGUSTA AVE,1454 FLORENCE ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
170,23432,0454195000,GETHSEMANE BAPTIST CHURCH,1485 WRIGHTSBORO RD,1485 WRIGHTSBORO RD,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
171,23435,0464503000,PEOPLES BAPTIST CHURCH,1010 SUMMER ST,1814 FAYETTEVILLE DR,AUGUSTA GA,30904,E2,01,BAPTIST,BAPTIST
172,23470,0454194000,GETHSEMANE BAPTIST CHURCH,1483 WRIGHTSBORO RD,1483 WRIGHTSBORO RD,AUGUSTA GA,30901,E2,01,BAPTIST,BAPTIST
173,23501,0464695000,HARMONY BAPTIST CHURCH OF AUGU,922 HOPKINS ST,930 HOPKINS ST,"AUGUSTA, GA",30901,E2,01,BAPTIST,BAPTIST
174,23520,0463356000,ANTIOCH BAPTIST CHURCH OF AUGUS,1363 FLORENCE ST,1454 FLORENCE ST,"AUGUSTA, GA",30901,,01,BAPTIST,BAPTIST
